id;Наименование продукта
83;"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, raw"
84;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted"
85;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, raw"
86;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted"
87;"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, raw"
88;"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled"
89;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised"
90;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, raw"
91;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, cooked, braised"
92;"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, raw"
93;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled"
94;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, raw"
95;"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw"
96;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"
97;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, raw"
98;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
99;"Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
100;"Lamb, domestic, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted"
101;"Lamb, domestic, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, raw"
102;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"
103;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled"
104;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"
105;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, raw"
106;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
107;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
108;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, roasted"
109;"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled"
110;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised"
111;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled"
112;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted"
113;"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, raw"
114;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"
115;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled"
116;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"
117;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, raw"
118;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
119;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
120;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
121;"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
122;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised"
123;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled"
124;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted"
125;"Lamb, domestic, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, raw"
126;Lamb, variety meats and by-products, mechanically separated, raw
127;Баранина, жареная, по 1-396
128;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, жаренная на открытом огне"
129;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, сырая"
130;"Баранина, кубиками для тушения или кебаб (нога и лопатка), мясо без жира и костей, обрезь до 1/4"" жира, тушеная"
131;Баранина, отварная, по 1-392
132;Баранина, рулька, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
133;Баранина, рулька, мясо и жир, обрезь до 1/8'' жира, отборная, тушеная
134;Баранина, селезенка, сырая
135;Баранина, селезенка, тушеная
136;Баранина, тушеная, консерв.
137;Баранина, тушеная, по 1-422
138;Баранина, фарш, жаренный на открытом огне
139;Баранина, фарш, сырой
140;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, жареная
141;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная на открытом огне
142;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/4'' жира, отборная, сырая
143;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, жареная
144;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне
145;Баранина, филейная часть, домашняя, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
146;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, жареная
147;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, жаренная на открытом огне
148;Баранина, филейная часть, домашняя, только мясо, обрезь до 1/4'' жира, отборная, сырая
149;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, жаренная на открытом огне
150;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне
151;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая
152;Баранина, филейная часть, Новая Зеландия, замороженная, мясо и жир, сырая
153;Баранина, филейная часть, Новая Зеландия, замороженная, только мясо, жаренная на открытом огне
154;Баранина, филейная часть, Новая Зеландия, замороженная, только мясо, сырая
155;Голяшка, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная
156;Голяшка, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
157;Голяшка, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная
158;Голяшка, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
159;Голяшка, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная
160;Голяшка, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая
161;Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная
162;Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
163;Голяшка, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная
164;Голяшка, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая
165;Гуляш, бараний, консерв.
166;Жир, баранина, Австралия, вареный
167;Жир, баранина, Австралия, сырой
168;Завтрак туриста, баранина, консерв.
169;Котлеты, баранина, отбивные, по 1-416
170;Котлеты, баранина, рубленые, по 1-442
171;Легкие, баранина, сырые
172;Легкие, баранина, тушеные
173;Мозги, баранина, жаренные, с небольшим количеством жира
174;Мозги, баранина, сырые
175;Мозги, баранина, тушеные
176;Мясной набор, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, вареная
177;Мясной набор, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
178;Мясной набор, баранина, Австралия, только мясо, обрезь до 1/8'' жира, вареная
179;Мясной набор, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
180;Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная
181;Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая
182;Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная
183;Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
184;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная
185;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная
186;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
187;Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая
188;Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная
189;Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая
190;Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная
191;Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая
192;Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная
193;Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая
194;Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная
195;Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая
196;Мясо, баранина, 1 категории
197;Мясо, баранина, 2 категории
198;Нога передняя, с лопаткой, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, вареная
199;Нога передняя, с лопаткой, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
200;Нога передняя, с лопаткой, баранина, Австралия, только мясо, обрезь до 1/8'' жира, вареная
201;Нога передняя, с лопаткой, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
202;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, жаренная
203;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, жаренная на открытом огне
204;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, сырая
205;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, тушеная
206;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная
207;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне
208;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая
209;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная
210;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, жаренная
211;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, жаренная на открытом огне
212;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, сырая
213;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, тушеная
214;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая
215;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная
216;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая
217;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная
218;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая
219;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная
220;Нога, целая, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная
221;Нога, целая, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
222;Нога, целая, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная
223;Нога, целая, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
224;Нога, целая, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная
225;Нога, целая, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая
226;Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная
227;Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
228;Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная
229;"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная"
230;"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая"
231;Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая
232;Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная
233;Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая
234;Нога, целая, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная
235;Нога, целая, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая
236;Нога, центральная часть, на кости, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне
237;Нога, центральная часть, на кости, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
238;Нога, центральная часть, на кости, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне
239;Нога, центральная часть, на кости, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
240;Печень, баранина, жаренная, с небольшим количеством жира
241;Печень, баранина, сырая
242;Печень, баранина, тушеная
243;Поджарка, баранина, по 1-408
244;Поджелудочная железа, баранина, сырая
245;Поджелудочная железа, баранина, тушеная
246;Почки, баранина, сырые
247;Почки, баранина, тушеные
248;Рагу, баранина, по 1-430
249;Ребра, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная
250;Ребра, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
251;Ребра, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная
252;Ребра, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
253;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная
254;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная на открытом огне
255;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая
256;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная
257;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне
258;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая
259;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная
260;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная
261;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая
262;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая
263;Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная
264;Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая
265;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная
266;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная на открытом огне
267;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая
268;"Рулька, баранина, Австралия, мясо и жир, обрезь до 1/8"" жира, сырая"
269;"Рулька, баранина, Австралия, мясо и жир, обрезь до 1/8"" жира, тушеная"
270;"Рулька, баранина, Австралия, только мясо, обрезь до 1/8"" жира, сырая"
271;"Рулька, баранина, Австралия, только мясо, обрезь до 1/8"" жира, тушеная"
272;"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая"
273;"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная"
274;"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая"
275;"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная"
276;Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая
277;Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная
278;Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая
279;Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная
280;"Рулька, баранина, только мясо, обрезь до 1/4"" жира, отборная, сырая"
281;"Рулька, баранина, только мясо, обрезь до 1/4"" жира, отборная, тушеная"
282;Сердце, Баранина, сырое
283;Сердце, Баранина, тушеное
284;Филейная часть, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне
285;Филейная часть, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая
286;Филейная часть, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне
287;Филейная часть, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая
288;Шницель, отбивной, баранина, по 1-416
289;Язык, баранина, сырой
290;Язык, баранина, тушеный
291;CAMPBELL Soup Company, Campbell's Свинина с фасолью
292;CAMPBELL Soup Company, PACE, Salsa Refried Beans
293;CAMPBELL Soup Company, PACE, Spicy Jalapeno Refried Beans
294;CAMPBELL Soup Company, PACE, Traditional Refried Beans
295;CAMPBELL Soup Company,Campbell's Brown Sugar And Bacon Flavored Baked Beans
296;Carob flour
297;Chickpea flour (besan)
298;Chickpeas (garbanzo beans, bengal gram), mature seeds, canned
299;Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt
300;Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt
301;Chickpeas (garbanzo beans, bengal gram), mature seeds, raw
302;Cowpeas, catjang, mature seeds, cooked, boiled, with salt
303;Cowpeas, catjang, mature seeds, cooked, boiled, without salt
304;Cowpeas, catjang, mature seeds, raw
305;Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned with pork
306;Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned, plain
307;Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt
308;Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt
309;Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw
310;ENSURE FIBER WITH FOS, liquid
311;Frijoles rojos volteados (Refried beans, red, canned)
312;GARDENBURGER Breaded Chik'n Veggie Patties
313;GARDENBURGER, Black Bean Chipotle Burger
314;GARDENBURGER, California Burger
315;GARDENBURGER, Flame Grilled Burger
316;GARDENBURGER, Garden Vegan
317;GARDENBURGER, Gourmet Baja Steak
318;GARDENBURGER, Gourmet Fire Dragon Steak
319;GARDENBURGER, Gourmet Hula Steak
320;GARDENBURGER, Gourmet Tuscany Steak
321;GARDENBURGER, Herb Crusted Cutlet
322;GARDENBURGER, Homestyle Classic Veggie Burger
323;GARDENBURGER, Malibu Burger made with organic whole grains, corn and carrots
324;GARDENBURGER, Original
325;GARDENBURGER, Savory Portabella Veggie Burger
326;GARDENBURGER, Sun-Dried Tomato Basil Burger
327;GARDENBURGER, Veggie Medley Burger
328;GREEN GIANT, HARVEST BURGER, Original Flavor, All Vegetable Protein Patties, frozen
329;Hyacinth beans, mature seeds, cooked, boiled, with salt
330;Hyacinth beans, mature seeds, cooked, boiled, without salt
331;Hyacinth beans, mature seeds, raw
332;LOMA LINDA Linketts, canned, unprepared
333;LOMA LINDA Little Links, canned, unprepared
334;LOMA LINDA Redi-Burger, canned, unprepared
335;LOMA LINDA Swiss Stake with Gravy, canned, unprepared
336;LOMA LINDA Tender Bits, canned, unprepared
337;LOMA LINDA Tender Rounds with Gravy, canned, unprepared
338;LOMA LINDA Vege-Burger, canned, unprepared
339;LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные
340;Luncheon slices, meatless
341;Lupins, mature seeds, cooked, boiled, with salt
342;Lupins, mature seeds, cooked, boiled, without salt
343;Lupins, mature seeds, raw
344;Meat extender
345;Meatballs, meatless
346;MOR-NU, Tofu, silken, lite firm
347;MORI-NU, Tofu, silken, lite extra firm
348;MORI-NU, Тофу, мягкий, шелковый
349;MORI-NU, Тофу, твердый, шелковый
350;MORI-NU, Тофу, экстра твердый, шелковый
351;MORNINGSTAR FARMS Asian Veggie Patties, frozen, unprepared
352;MORNINGSTAR FARMS BBQ Riblets, frozen, unprepared
353;MORNINGSTAR FARMS Breakfast Pattie made with Organic Soy, frozen, unprepared
354;MORNINGSTAR FARMS California Turk'y Burger, frozen, unprepared
355;MORNINGSTAR FARMS Chik Patties, frozen, unprepared
356;MORNINGSTAR FARMS Chik'n Nuggets, frozen, unprepared
357;MORNINGSTAR FARMS Grillers Chik'n Veggie Patties, frozen, unprepared
358;MORNINGSTAR FARMS Grillers Original, frozen, unprepared
359;MORNINGSTAR FARMS Grillers Prime, frozen, unprepared
360;MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger, frozen, unprepared
361;MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties, frozen, unprepared
362;MORNINGSTAR FARMS Italian Herb Chik Patties, frozen, unprepared
363;MORNINGSTAR FARMS Lasagna with Veggie Sausage, frozen, unpreapred
364;MORNINGSTAR FARMS Maple Flavored Veggie Sausage Patties, frozen, unprepared
365;MORNINGSTAR FARMS Meal Starters Chik'n Strips, frozen, unprepared
366;MORNINGSTAR FARMS MeatFree Buffalo Wings, frozen, unprepared
367;MORNINGSTAR FARMS Mushroom Lover's Burger, frozen, unprepared
368;MORNINGSTAR FARMS Original Chik'n Tenders, frozen, unprepared
369;MORNINGSTAR FARMS Sausage Style Recipe Crumbles, frozen, unprepared
370;MORNINGSTAR FARMS Tomato & Basil Pizza Burger, frozen, unprepared
371;MORNINGSTAR FARMS Veggie Breakfast Bacon Strips, frozen, unprepared
372;MORNINGSTAR FARMS Veggie Breakfast Sausage Links, frozen, unprepared
373;MORNINGSTAR FARMS Veggie Italian Style Sausage, frozen, unprepared
374;MORNINGSTAR FARMS Veggie Sweet and Sour Chik'n, frozen, unprepared
375;Mothbeans, mature seeds, cooked, boiled, with salt
376;Mothbeans, mature seeds, cooked, boiled, without salt
377;Mothbeans, mature seeds, raw
378;Mungo beans, mature seeds, cooked, boiled, with salt
379;Mungo beans, mature seeds, cooked, boiled, without salt
380;Mungo beans, mature seeds, raw
381;Noodles, chinese, cellophane or long rice (mung beans), dehydrated
382;Pigeon peas (red gram), mature seeds, cooked, boiled, with salt
383;Pigeon peas (red gram), mature seeds, cooked, boiled, without salt
384;Pigeon peas (red gram), mature seeds, raw
385;Refried beans, canned (includes USDA commodity)
386;Refried beans, canned, fat-free
387;Refried beans, canned, vegetarian
388;SILK Banana-Strawberry soy Yogurt
389;SILK Black Cherry soy Yogurt
390;SILK Blueberry soy Yogurt
391;SILK Chai, soymilk
392;SILK Chocolate, soymilk
393;SILK Coffee, soymilk
394;SILK French Vanilla Creamer
395;SILK Hazelnut Creamer
396;SILK Key Lime soy Yogurt
397;SILK Light Chocolate, soymilk
398;SILK Light Plain, soymilk
399;SILK Light Vanilla, soymilk
400;SILK Mocha, soymilk
401;SILK Nog, soymilk
402;SILK Original Creamer
403;SILK Peach soy Yogurt
404;SILK Plain soy yogurt
405;SILK Plain, soymilk
406;SILK Plus Fiber, soymilk
407;SILK Plus for Bone Health, soymilk
408;SILK Plus Omega-3 DHA, soymilk
409;SILK Raspberry soy yogurt
410;SILK Strawberry soy yogurt
411;SILK Unsweetened, soymilk
412;SILK Vanilla soy Yogurt (Family size)
413;SILK Vanilla soy yogurt (single serving size)
414;SILK Vanilla, soymilk
415;SILK Very Vanilla, soymilk
416;Soy protein concentrate, produced by acid wash
