id;Наименование продукта;kal
203;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, жаренная на открытом огне;122
204;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, сырая;77
205;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/4'' жира, тушеная;89
206;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная;216
207;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне;183
208;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая;144
209;Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная;269
210;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, жаренная;180
211;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, жаренная на открытом огне;154
212;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, сырая;142
213;Нога передняя, с лопаткой, баранина, только мясо, обрезь до 1/4'' жира, тушеная;287
214;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая;141
215;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная;112
216;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая;283
217;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная;175
218;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая;232
219;Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная;218
220;Нога, целая, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная;74
221;Нога, целая, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;294
222;Нога, целая, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная;217
223;Нога, целая, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;115
224;Нога, целая, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная;196
225;Нога, целая, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая;280
226;Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная;82
227;Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;286
228;Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная;114
229;"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная";233
230;"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая";299
231;Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая;253
232;Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная;232
233;Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая;114
234;Нога, целая, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная;204
235;Нога, целая, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая;204
236;Нога, центральная часть, на кости, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне;281
237;Нога, центральная часть, на кости, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;86
238;Нога, центральная часть, на кости, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне;297
239;Нога, центральная часть, на кости, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;87
240;Печень, баранина, жаренная, с небольшим количеством жира;155
241;Печень, баранина, сырая;176
242;Печень, баранина, тушеная;156
243;Поджарка, баранина, по 1-408;168
244;Поджелудочная железа, баранина, сырая;220
245;Поджелудочная железа, баранина, тушеная;112
246;Почки, баранина, сырые;88
247;Почки, баранина, тушеные;68
248;Рагу, баранина, по 1-430;109
249;Ребра, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная;267
250;Ребра, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;52
251;Ребра, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная;190
252;Ребра, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;159
253;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная;259
254;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, жаренная на открытом огне;192
255;Ребра, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая;116
256;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная;117
257;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне;59
258;Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая;141
259;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная;125
260;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная;186
261;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая;240
262;Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая;271
263;Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная;99
264;Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая;124
265;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная;101
266;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, жаренная на открытом огне;205
267;Ребра, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая;153
268;"Рулька, баранина, Австралия, мясо и жир, обрезь до 1/8"" жира, сырая";68
269;"Рулька, баранина, Австралия, мясо и жир, обрезь до 1/8"" жира, тушеная";111
270;"Рулька, баранина, Австралия, только мясо, обрезь до 1/8"" жира, сырая";69
271;"Рулька, баранина, Австралия, только мясо, обрезь до 1/8"" жира, тушеная";195
272;"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая";272
273;"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная";115
274;"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая";113
275;"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная";248
276;Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая;126
277;Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная;156
278;Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая;156
279;Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная;173
280;"Рулька, баранина, только мясо, обрезь до 1/4"" жира, отборная, сырая";246
281;"Рулька, баранина, только мясо, обрезь до 1/4"" жира, отборная, тушеная";135
282;Сердце, Баранина, сырое;253
283;Сердце, Баранина, тушеное;99
284;Филейная часть, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне;242
285;Филейная часть, баранина, Австралия, мясо и жир, обрезь до 1/8'' жира, сырая;73
286;Филейная часть, баранина, Австралия, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне;55
287;Филейная часть, баранина, Австралия, только мясо, обрезь до 1/8'' жира, сырая;231
288;Шницель, отбивной, баранина, по 1-416;71
289;Язык, баранина, сырой;286
290;Язык, баранина, тушеный;176
291;CAMPBELL Soup Company, Campbell's Свинина с фасолью;247
292;CAMPBELL Soup Company, PACE, Salsa Refried Beans;78
293;CAMPBELL Soup Company, PACE, Spicy Jalapeno Refried Beans;249
294;CAMPBELL Soup Company, PACE, Traditional Refried Beans;121
295;CAMPBELL Soup Company,Campbell's Brown Sugar And Bacon Flavored Baked Beans;223
296;Carob flour;270
297;Chickpea flour (besan);76
298;Chickpeas (garbanzo beans, bengal gram), mature seeds, canned;214
299;Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt;214
300;Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt;233
301;Chickpeas (garbanzo beans, bengal gram), mature seeds, raw;108
302;Cowpeas, catjang, mature seeds, cooked, boiled, with salt;291
303;Cowpeas, catjang, mature seeds, cooked, boiled, without salt;70
304;Cowpeas, catjang, mature seeds, raw;294
305;Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned with pork;120
306;Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned, plain;201
307;Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt;80
308;Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt;176
309;Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw;229
310;ENSURE FIBER WITH FOS, liquid;128
311;Frijoles rojos volteados (Refried beans, red, canned);201
312;GARDENBURGER Breaded Chik'n Veggie Patties;267
313;GARDENBURGER, Black Bean Chipotle Burger;112
314;GARDENBURGER, California Burger;282
315;GARDENBURGER, Flame Grilled Burger;231
316;GARDENBURGER, Garden Vegan;182
317;GARDENBURGER, Gourmet Baja Steak;239
318;GARDENBURGER, Gourmet Fire Dragon Steak;174
319;GARDENBURGER, Gourmet Hula Steak;157
320;GARDENBURGER, Gourmet Tuscany Steak;239
321;GARDENBURGER, Herb Crusted Cutlet;232
322;GARDENBURGER, Homestyle Classic Veggie Burger;188
323;GARDENBURGER, Malibu Burger made with organic whole grains, corn and carrots;172
324;GARDENBURGER, Original;119
325;GARDENBURGER, Savory Portabella Veggie Burger;252
326;GARDENBURGER, Sun-Dried Tomato Basil Burger;74
327;GARDENBURGER, Veggie Medley Burger;297
328;GREEN GIANT, HARVEST BURGER, Original Flavor, All Vegetable Protein Patties, frozen;291
329;Hyacinth beans, mature seeds, cooked, boiled, with salt;127
330;Hyacinth beans, mature seeds, cooked, boiled, without salt;111
331;Hyacinth beans, mature seeds, raw;103
332;LOMA LINDA Linketts, canned, unprepared;86
333;LOMA LINDA Little Links, canned, unprepared;180
334;LOMA LINDA Redi-Burger, canned, unprepared;105
335;LOMA LINDA Swiss Stake with Gravy, canned, unprepared;171
336;LOMA LINDA Tender Bits, canned, unprepared;240
337;LOMA LINDA Tender Rounds with Gravy, canned, unprepared;242
338;LOMA LINDA Vege-Burger, canned, unprepared;96
339;LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные;297
340;Luncheon slices, meatless;296
341;Lupins, mature seeds, cooked, boiled, with salt;206
342;Lupins, mature seeds, cooked, boiled, without salt;286
343;Lupins, mature seeds, raw;62
344;Meat extender;231
345;Meatballs, meatless;253
346;MOR-NU, Tofu, silken, lite firm;288
347;MORI-NU, Tofu, silken, lite extra firm;250
348;MORI-NU, Тофу, мягкий, шелковый;276
349;MORI-NU, Тофу, твердый, шелковый;53
350;MORI-NU, Тофу, экстра твердый, шелковый;251
351;MORNINGSTAR FARMS Asian Veggie Patties, frozen, unprepared;98
352;MORNINGSTAR FARMS BBQ Riblets, frozen, unprepared;65
353;MORNINGSTAR FARMS Breakfast Pattie made with Organic Soy, frozen, unprepared;114
354;MORNINGSTAR FARMS California Turk'y Burger, frozen, unprepared;298
355;MORNINGSTAR FARMS Chik Patties, frozen, unprepared;183
356;MORNINGSTAR FARMS Chik'n Nuggets, frozen, unprepared;89
357;MORNINGSTAR FARMS Grillers Chik'n Veggie Patties, frozen, unprepared;161
358;MORNINGSTAR FARMS Grillers Original, frozen, unprepared;298
359;MORNINGSTAR FARMS Grillers Prime, frozen, unprepared;215
360;MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger, frozen, unprepared;78
361;MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties, frozen, unprepared;198
362;MORNINGSTAR FARMS Italian Herb Chik Patties, frozen, unprepared;126
363;MORNINGSTAR FARMS Lasagna with Veggie Sausage, frozen, unpreapred;97
364;MORNINGSTAR FARMS Maple Flavored Veggie Sausage Patties, frozen, unprepared;252
365;MORNINGSTAR FARMS Meal Starters Chik'n Strips, frozen, unprepared;66
366;MORNINGSTAR FARMS MeatFree Buffalo Wings, frozen, unprepared;188
367;MORNINGSTAR FARMS Mushroom Lover's Burger, frozen, unprepared;185
368;MORNINGSTAR FARMS Original Chik'n Tenders, frozen, unprepared;72
369;MORNINGSTAR FARMS Sausage Style Recipe Crumbles, frozen, unprepared;117
370;MORNINGSTAR FARMS Tomato & Basil Pizza Burger, frozen, unprepared;158
371;MORNINGSTAR FARMS Veggie Breakfast Bacon Strips, frozen, unprepared;234
372;MORNINGSTAR FARMS Veggie Breakfast Sausage Links, frozen, unprepared;81
373;MORNINGSTAR FARMS Veggie Italian Style Sausage, frozen, unprepared;115
374;MORNINGSTAR FARMS Veggie Sweet and Sour Chik'n, frozen, unprepared;232
375;Mothbeans, mature seeds, cooked, boiled, with salt;244
376;Mothbeans, mature seeds, cooked, boiled, without salt;248
377;Mothbeans, mature seeds, raw;177
378;Mungo beans, mature seeds, cooked, boiled, with salt;210
379;Mungo beans, mature seeds, cooked, boiled, without salt;67
380;Mungo beans, mature seeds, raw;87
